GRIDSIZEKM,GRID_ID,STATE,AREA_SQKM,Albers_X,Albers_Y,Latitude,Longitude,Shape_Length,Shape_Area,GRTS_No,Sample,Surveyed2017,SiteType2017
15.000000000000000,10360.000000000000000,Utah,225,-1282034.184720166260377,2211913.947364252060652,41.957391280000003,-111.645053309999994,60000.000165627548995,225000001.242206573486328,Id-570,No,No,
15.000000000000000,10613.000000000000000,Wyoming,225,-1202852.861200000159442,2227892.620849999599159,42.211064630000003,-110.724603349999995,60000.000129549771373,225000000.971623301506042,Id-596,No,No,
15.000000000000000,10484.000000000000000,Idaho,225,-1279328.347472043242306,2226667.877257790882140,42.091469640000000,-111.641994460000006,60000.000245948693191,225000001.844615221023560,Id-413,No,No,
15.000000000000000,11603.000000000000000,Idaho,225,-1210714.023000000277534,2351335.733849999960512,43.291190749999998,-111.056713130000006,59999.999736110818048,224999998.020831137895584,Id-538,No,No,
15.000000000000000,11604.000000000000000,Wyoming,225,-1195960.093184417812154,2348629.896594085730612,43.287977310000002,-110.871006710000003,59999.999968907315633,224999999.766804873943329,Id-026,Yes,Yes,Bait
15.000000000000000,10984.000000000000000,Wyoming,225,-1209489.279299999587238,2274860.247600000351667,42.616849950000002,-110.893906970000003,59999.999932831044134,224999999.496232837438583,Id-211,No,No,
15.000000000000000,10985.000000000000000,Wyoming,225,-1194735.349500000011176,2272154.410349999554455,42.613411270000000,-110.710014009999995,59999.999968907315633,224999999.766804873943329,Id-466,No,No,
15.000000000000000,10986.000000000000000,Wyoming,225,-1179981.419700000435114,2269448.573099999688566,42.609713040000003,-110.526139970000003,59999.999932831044134,224999999.496232837438583,Id-317,No,No,
15.000000000000000,10994.000000000000000,Wyoming,225,-1061949.981172043131664,2247801.875207790639251,42.570789189999999,-109.055993729999997,60000.000049229965953,225000000.369224756956100,Id-294,No,No,
15.000000000000000,10995.000000000000000,Wyoming,225,-1047196.051377957453951,2245096.037992208730429,42.564757370000002,-108.872351739999999,59999.999852510562050,224999998.893829226493835,Id-562,No,No,
15.000000000000000,11232.000000000000000,Wyoming,225,-1204077.604792208876461,2304368.107172043528408,42.885219280000001,-110.884800249999998,60000.000049229296565,225000000.369219720363617,Id-506,No,No,
15.000000000000000,11233.000000000000000,Wyoming,225,-1189323.675029833568260,2301662.269935747608542,42.881765899999998,-110.700193310000003,59999.999968908814481,224999999.766816079616547,Id-147,Yes,Yes,Bait
15.000000000000000,11234.000000000000000,Wyoming,225,-1174569.745227956911549,2298956.432692208793014,42.878051849999999,-110.515605530000002,60000.000049228619901,225000000.369214683771133,Id-437,No,No,
15.000000000000000,11239.000000000000000,Wyoming,225,-1100800.096170166274533,2285427.246514252386987,42.855573380000003,-109.593002450000000,59999.999772188588395,224999998.291414409875870,Id-254,No,No,
