GRID_ID,Albers_X,Albers_Y,Shape_Length,Shape_Area,GRID_ID_Text,meanDepth_20170301,meanDepth_20170501,meanDepth_20180301,meanDepth_20180501,meanDepth_20190301,meanDepth_20190501,meanDepth_20200301,meanDepth_20200501,meanDepth_20210301,meanDepth_20210501,meanSWE_20170301,meanSWE_20170501,meanSWE_20180301,meanSWE_20180501,meanSWE_20190301,meanSWE_20190501,meanSWE_20200301,meanSWE_20200501,meanSWE_20210301,meanSWE_20210501,meantin_2010w,meantin_2011w,meantin_2012w,meantin_2013w,meantin_2014w,meantin_2015w,meantin2016,meantin2017w,meantin_2018w,meantin_2020w,meanBurned2016_2021,meanBurned2001_2021,meanBurned2001_2015,meanHM_CONUSv2_2021,meanCSPH_raster,COUNT_CLUSTER_ID
6262.000000000000000,-1459850.392157790716738,1741269.286977957235649,60000.000049227121053,225000000.369203448295593,6262,1703.041666666666742,325.568181818181756,581.439393939393767,59.765151515151501,1444.602272727272975,1181.208333333333030,826.359848484848271,471.643939393939206,590.731060606060851,96.200757575757535,534.863636363636829,116.818181818181770,129.742424242424107,19.465909090909090,485.155303030302775,469.098484848484873,324.549242424242664,209.893939393939348,170.003787878787847,36.409090909090935,57.473888888888943,48.962500000000077,42.993888888888925,44.383055555555487,42.300555555555604,47.686944444444620,54.428888888888928,52.691666666666599,56.273888888888870,40.371944444444424,0.007992000000000,0.013808000000000,0.005816000000000,0.056957003314784,0.930148279406889,6
6884.000000000000000,-1416813.346400000154972,1809627.261600000085309,60000.000165627548995,225000001.242206573486328,6884,870.116981132075352,286.109433962264234,487.815094339622590,87.962264150943355,959.415094339622442,943.347169811320555,606.098113207546817,408.660377358490621,519.679245283018759,146.445283018867940,267.830188679245225,97.588679245283018,101.128301886792443,25.381132075471715,302.607547169811312,353.090566037735812,221.464150943396220,180.973584905660459,139.252830188679269,58.705660377358456,50.698888888888902,43.682499999999983,33.700833333333286,38.823055555555570,32.899166666666574,37.727222222222096,46.056388888888847,42.321111111111108,48.133611111111094,30.713888888888896,0.012564100512804,0.023284186273490,0.010720085760686,0.035100670141271,0.615989536041854,6
6764.000000000000000,-1360503.464407790917903,1784049.982877957401797,59999.999852509892662,224999998.893824189901352,6764,1086.022641509434152,524.905660377358231,414.509433962264325,0.471698113207547,920.973584905660687,812.577358490565530,799.830188679245794,441.981132075471692,597.143396226415007,44.052830188679252,324.811320754716917,172.901886792452871,93.154716981132097,0.128301886792453,289.916981132075421,298.784905660377433,292.732075471698238,209.845283018867946,161.041509433962204,14.905660377358492,50.076944444444464,46.416111111111078,44.363611111111140,46.728888888888953,42.080833333333310,46.085277777777833,47.797500000000014,45.007777777777818,48.068333333333449,37.873333333333420,0.002291990832037,0.032463870144519,0.030171879312483,0.022503534738555,0.804644000000004,3
6765.000000000000000,-1345749.534556460799649,1781344.145651876926422,60000.000049229296565,225000000.369219720363617,6765,1190.094696969698589,769.704545454545496,452.257575757576149,27.128787878787875,1079.587121212120337,1316.045454545454731,851.507575757575637,901.636363636363171,636.962121212121360,375.106060606060396,352.708333333333485,244.912878787878697,98.064393939393952,7.772727272727273,343.321969696969461,569.587121212121019,313.303030303030710,415.560606060606347,175.462121212121275,144.897727272727423,52.708333333333279,50.647499999999802,50.274722222222195,48.766944444444512,48.714444444444489,49.406944444444491,55.181388888889032,51.035000000000046,47.213611111111149,43.708611111111026,0.000479996160031,0.004167966656267,0.003687970496236,0.011390540670651,0.878543028344229,3
6766.000000000000000,-1330995.604757791152224,1778638.308427957119420,60000.000085304891400,225000000.639786720275879,6766,847.349809885931222,570.186311787071531,342.384030418251143,24.722433460076047,1010.661596958173959,862.498098859315178,714.692015209125429,490.836501901140764,417.399239543726310,201.418250950570325,245.904942965779554,194.338403041825075,72.422053231939145,7.114068441064644,322.908745247148374,374.901140684410791,265.912547528517166,230.988593155893625,115.376425855513233,76.277566539923981,54.128091136426846,50.709085857182593,47.049458182828459,47.276465684912587,46.045568213392670,44.480966935259687,52.974437343706683,47.884968046679532,47.612114476243313,40.767991108641382,0.000600002400010,0.023984095936384,0.023384093536374,0.015041386836120,0.610588000000001,3
7008.000000000000000,-1414107.509192209225148,1824381.191472042817622,60000.000049228627176,225000000.369214683771133,7008,1255.920152091254977,552.501901140684481,622.011406844106318,197.452471482889592,1221.140684410647054,1500.300380228136873,766.250950570341843,619.889733840304189,716.589353612167315,390.346007604562658,396.832699619771688,188.231939163497913,131.901140684410706,58.760456273764234,393.642585551330626,579.076045627376629,275.490494296577992,268.342205323193923,201.296577946768139,153.437262357414426,50.472499999999982,42.926944444444615,38.051666666666691,43.211666666666694,40.590833333333109,43.844999999999978,48.580555555555371,44.817777777777835,47.368611111111122,34.135277777777866,0.077448000000001,0.167472000000000,0.090024000000000,0.031338296060893,0.944835779343123,6
7134.000000000000000,-1381893.812300000339746,1833723.446750000119209,59999.999968908814481,224999999.766816109418869,7134,577.662878787878071,227.560606060605892,362.034090909090764,40.984848484848484,645.147727272727479,762.340909090909236,469.037878787878697,151.303030303030340,411.318181818182040,86.492424242424264,152.469696969696997,62.840909090909044,72.450757575757649,7.371212121212118,187.863636363636459,256.662878787878526,137.397727272727451,65.000000000000028,98.784090909090935,32.988636363636353,52.202556265629248,46.642678521811696,39.285912753542689,41.501250347318702,37.648513475965629,42.997499305362616,44.710475131981113,39.920811336482409,46.196165601555961,33.264517921644845,0.140920000000000,0.202040000000001,0.061119999999999,0.040355108653617,0.509326037304148,6
7384.000000000000000,-1346974.278220166219398,1857819.631914251949638,59999.999968910313328,224999999.766827315092087,7384,952.425855513307511,736.528517110266080,716.756653992395513,246.863117870722533,884.779467680608377,901.638783269962460,628.300380228136760,353.904942965779469,654.923954372623484,298.923954372623598,269.920152091254806,257.855513307984893,162.992395437262275,80.692015209125429,284.885931558935340,313.980988593155814,219.844106463878376,165.904942965779554,182.330798479087491,119.376425855513261,66.678611111111280,61.840833333333400,57.250555555555465,60.560555555555453,58.303611111111152,61.646666666666640,62.456666666666734,56.975277777777684,64.109166666666610,47.279444444444437,0.030312000000000,0.106204000000000,0.075892000000000,0.027418041109513,0.537169851320605,6
7260.000000000000000,-1349680.115472042700276,1843065.702157791471109,60000.000085308565758,225000000.639814198017120,7260,1092.375478927203631,958.375478927202948,642.919540229885001,318.532567049808449,902.911877394636463,1197.333333333332575,713.555555555555543,464.605363984674170,690.842911877394499,337.007662835249164,324.724137931034420,329.881226053639864,138.283524904214602,104.586206896551715,276.256704980842869,434.065134099616500,236.731800766283584,207.053639846743238,182.386973180076581,127.789272030651290,66.047777777777767,61.149166666666602,55.456388888888981,56.911388888888837,58.414166666666716,62.695833333333290,64.148611111110995,57.350555555555701,64.913055555555630,50.961388888888791,0.013596000000000,0.059500000000000,0.045904000000000,0.020920082286113,0.733870129038973,6
7882.000000000000000,-1306643.069692208897322,1911423.676722042495385,59999.999852510562050,224999998.893829226493835,7882,1510.856603773584993,800.441509433961983,625.490566037735789,116.886792452830207,989.524528301886903,835.083018867924693,695.124528301886812,236.203773584905719,614.150943396226467,175.101886792452746,462.566037735849136,276.332075471698261,140.667924528301882,35.524528301886775,301.890566037735766,288.309433962264166,235.388679245283072,106.392452830188688,166.788679245282907,68.354716981132071,54.592777777777769,51.793333333333337,42.057499999999884,50.390277777777790,52.397222222222275,51.983611111111074,52.018333333333203,50.002222222222215,50.562777777777704,45.282222222222259,0.002656000000000,0.012952000000000,0.010296000000000,0.054151863941902,0.558178232712926,13
